deal_id,account,segment,region,product,industry,deal_size_usd,sales_cycle_days,rep,competitor,discount_pct,num_stakeholders,champion_strength,outcome,primary_reason,notes
D1150,Account 150,Mid-Market,Southeast,Payments & Billing,Single-Family Rental,124000,122,A. Morgan,Entrata,20,4,High,Won,Trusted relationship / references,Strong peer references in their region sealed it.
D1151,Account 151,Enterprise,Southeast,AI Revenue Management,Affordable,488000,25,F. Okafor,None,5,3,Medium,Won,Product fit / platform consolidation,They consolidated four point tools onto our platform.
D1152,Account 152,Mid-Market,Central,Leasing & Marketing,Conventional Multifamily,52000,132,B. Chen,Entrata,5,1,Low,Won,Strong ROI / revenue lift,AI revenue management pilot showed a clear rent-optimization lift; CFO championed it.
D1153,Account 153,SMB,Central,Property Management Platform,Affordable,44000,39,F. Okafor,Yardi,30,3,Medium,Lost,Implementation / risk concerns,IT flagged integration effort as too high for the timeline.
D1154,Account 154,Enterprise,West,Resident Screening,Affordable,422000,130,E. Novak,Entrata,30,3,Low,Lost,Implementation / risk concerns,Reference checks raised onboarding concerns.
D1155,Account 155,Mid-Market,Southeast,Resident Screening,Single-Family Rental,88000,159,B. Chen,AppFolio,15,4,Low,Lost,Weak champion / no executive sponsor,Our champion left mid-cycle and the new stakeholder restarted evaluation.
D1156,Account 156,Enterprise,Central,Payments & Billing,Single-Family Rental,244000,168,D. Patel,Entrata,25,1,Medium,Lost,Price too high,Deal stalled on pricing; procurement pushed hard for a discount we could not meet.
D1157,Account 157,Mid-Market,West,Payments & Billing,Conventional Multifamily,137000,93,B. Chen,Yardi,10,1,Medium,Lost,Timing / budget frozen,Budget froze after a portfolio acquisition; revisit next fiscal year.
D1158,Account 158,Mid-Market,Southeast,Property Management Platform,Conventional Multifamily,117000,79,B. Chen,Yardi,10,1,High,Won,Product fit / platform consolidation,Native screening + payments integration was the deciding factor.
D1159,Account 159,Mid-Market,Southeast,Resident Screening,Single-Family Rental,132000,91,A. Morgan,Entrata,15,3,Medium,Lost,Lost to competitor incumbent,Incumbent Yardi bundled the module for free to retain the account.
D1160,Account 160,Mid-Market,Northeast,Resident Screening,Single-Family Rental,82000,29,B. Chen,Entrata,10,2,Low,Lost,Missing feature / product gap,Prospect required an open API for their data warehouse that is still on our roadmap.
D1161,Account 161,SMB,Central,Payments & Billing,Single-Family Rental,18000,189,F. Okafor,MRI Software,10,5,Medium,Won,Superior support / implementation,Our implementation plan de-risked the migration and beat the competitor's.
D1162,Account 162,SMB,Southeast,AI Revenue Management,Conventional Multifamily,22000,44,B. Chen,None,30,1,High,Won,Product fit / platform consolidation,They consolidated four point tools onto our platform.
D1163,Account 163,Enterprise,West,AI Revenue Management,Single-Family Rental,391000,29,A. Morgan,AppFolio,25,5,Medium,Lost,Lost to competitor incumbent,Incumbent Yardi bundled the module for free to retain the account.
D1164,Account 164,SMB,Central,Leasing & Marketing,Student Housing,24000,49,B. Chen,None,5,2,Medium,Lost,Lost to competitor incumbent,They were already standardized on the competitor across the portfolio.
D1165,Account 165,Enterprise,West,AI Revenue Management,Conventional Multifamily,314000,101,D. Patel,Entrata,10,3,Medium,Lost,Implementation / risk concerns,Worried about migration risk from their legacy system during peak leasing season.
D1166,Account 166,SMB,Central,AI Revenue Management,Conventional Multifamily,52000,169,B. Chen,Yardi,20,4,Medium,Lost,Weak champion / no executive sponsor,Single-threaded deal; economic buyer never engaged.
D1167,Account 167,Enterprise,Northeast,AI Revenue Management,Student Housing,226000,169,A. Morgan,None,10,6,Medium,Lost,Implementation / risk concerns,IT flagged integration effort as too high for the timeline.
D1168,Account 168,Enterprise,West,Payments & Billing,Student Housing,501000,109,E. Novak,Entrata,20,6,Medium,Won,Product fit / platform consolidation,They consolidated four point tools onto our platform.
D1169,Account 169,Mid-Market,Southeast,Resident Screening,Single-Family Rental,110000,32,B. Chen,MRI Software,20,4,Medium,Won,Superior support / implementation,Our implementation plan de-risked the migration and beat the competitor's.
D1170,Account 170,SMB,Central,Property Management Platform,Single-Family Rental,31000,93,F. Okafor,Entrata,5,2,Low,Won,Strong ROI / revenue lift,Quantified NOI improvement won over the executive sponsor.
D1171,Account 171,Mid-Market,Southeast,Payments & Billing,Single-Family Rental,51000,72,A. Morgan,Entrata,5,2,Low,Lost,Timing / budget frozen,No urgency; they chose to defer the decision six months.
D1172,Account 172,Mid-Market,Central,Leasing & Marketing,Student Housing,61000,46,F. Okafor,None,20,4,Low,Won,Trusted relationship / references,Existing partnership on another product built the trust to expand.
D1173,Account 173,Enterprise,Northeast,AI Revenue Management,Affordable,489000,148,B. Chen,Yardi,20,3,Medium,Lost,Missing feature / product gap,Prospect required an open API for their data warehouse that is still on our roadmap.
D1174,Account 174,Enterprise,Southeast,Payments & Billing,Affordable,340000,183,C. Diaz,Yardi,20,4,Low,Lost,Timing / budget frozen,Budget froze after a portfolio acquisition; revisit next fiscal year.
D1175,Account 175,Mid-Market,Northeast,Property Management Platform,Single-Family Rental,128000,105,C. Diaz,Entrata,10,5,High,Won,Product fit / platform consolidation,Native screening + payments integration was the deciding factor.
D1176,Account 176,Mid-Market,West,Property Management Platform,Student Housing,160000,169,F. Okafor,Entrata,15,2,High,Won,Trusted relationship / references,Strong peer references in their region sealed it.
D1177,Account 177,Mid-Market,Southeast,Property Management Platform,Single-Family Rental,116000,89,A. Morgan,ResMan,10,3,Low,Lost,Timing / budget frozen,No urgency; they chose to defer the decision six months.
D1178,Account 178,SMB,Central,AI Revenue Management,Conventional Multifamily,18000,177,F. Okafor,AppFolio,15,6,Low,Lost,Price too high,Lost on total cost of ownership once implementation fees were added.
D1179,Account 179,SMB,Northeast,AI Revenue Management,Conventional Multifamily,41000,52,B. Chen,ResMan,15,4,Medium,Won,Product fit / platform consolidation,Native screening + payments integration was the deciding factor.
D1180,Account 180,Mid-Market,West,AI Revenue Management,Single-Family Rental,157000,113,C. Diaz,Entrata,30,2,High,Won,Product fit / platform consolidation,Native screening + payments integration was the deciding factor.
D1181,Account 181,Mid-Market,Southeast,Payments & Billing,Conventional Multifamily,97000,114,F. Okafor,Entrata,30,5,High,Won,Strong ROI / revenue lift,AI revenue management pilot showed a clear rent-optimization lift; CFO championed it.
D1182,Account 182,Enterprise,Northeast,Property Management Platform,Student Housing,338000,157,E. Novak,None,5,3,Medium,Lost,Implementation / risk concerns,Worried about migration risk from their legacy system during peak leasing season.
D1183,Account 183,Enterprise,Southeast,Leasing & Marketing,Single-Family Rental,480000,140,A. Morgan,MRI Software,0,3,Medium,Won,Strong ROI / revenue lift,AI revenue management pilot showed a clear rent-optimization lift; CFO championed it.
D1184,Account 184,SMB,Southeast,Payments & Billing,Affordable,15000,92,E. Novak,Yardi,25,2,Medium,Lost,Weak champion / no executive sponsor,Champion liked us but could not get budget prioritized.
D1185,Account 185,Enterprise,Central,Resident Screening,Conventional Multifamily,179000,59,C. Diaz,None,10,2,Medium,Lost,Timing / budget frozen,Prospect paused all software spend pending a reorg.
D1186,Account 186,Mid-Market,Central,Leasing & Marketing,Student Housing,57000,149,D. Patel,MRI Software,20,2,Medium,Won,Superior support / implementation,Our implementation plan de-risked the migration and beat the competitor's.
D1187,Account 187,Mid-Market,Southeast,Leasing & Marketing,Single-Family Rental,93000,168,F. Okafor,None,10,4,Medium,Lost,Weak champion / no executive sponsor,Our champion left mid-cycle and the new stakeholder restarted evaluation.
D1188,Account 188,Enterprise,Northeast,Resident Screening,Student Housing,519000,33,B. Chen,MRI Software,10,3,High,Lost,Weak champion / no executive sponsor,Champion liked us but could not get budget prioritized.
D1189,Account 189,SMB,Central,AI Revenue Management,Single-Family Rental,49000,163,D. Patel,Yardi,30,4,Low,Lost,Lost to competitor incumbent,Incumbent Yardi bundled the module for free to retain the account.
D1190,Account 190,Mid-Market,Northeast,Property Management Platform,Student Housing,120000,55,F. Okafor,Entrata,5,5,High,Won,Product fit / platform consolidation,They consolidated four point tools onto our platform.
D1191,Account 191,Enterprise,Northeast,Leasing & Marketing,Student Housing,269000,177,F. Okafor,None,30,3,Medium,Won,Strong ROI / revenue lift,AI revenue management pilot showed a clear rent-optimization lift; CFO championed it.
D1192,Account 192,Mid-Market,Central,Property Management Platform,Affordable,102000,88,F. Okafor,None,5,2,High,Won,Trusted relationship / references,Existing partnership on another product built the trust to expand.
D1193,Account 193,Mid-Market,Southeast,Resident Screening,Affordable,114000,156,D. Patel,AppFolio,5,4,Medium,Lost,Implementation / risk concerns,Worried about migration risk from their legacy system during peak leasing season.
D1194,Account 194,SMB,Southeast,Payments & Billing,Student Housing,28000,161,B. Chen,None,15,2,Medium,Lost,Lost to competitor incumbent,Switching cost fears; incumbent offered a multi-year lock-in discount.
D1195,Account 195,SMB,West,AI Revenue Management,Single-Family Rental,18000,36,A. Morgan,Yardi,15,1,High,Won,Strong ROI / revenue lift,Quantified NOI improvement won over the executive sponsor.
D1196,Account 196,Enterprise,Northeast,AI Revenue Management,Affordable,310000,95,A. Morgan,None,10,2,High,Won,Superior support / implementation,Dedicated onboarding team was the differentiator.
D1197,Account 197,SMB,West,Property Management Platform,Single-Family Rental,41000,25,B. Chen,ResMan,5,2,Low,Lost,Price too high,Buyer said our list price was 20% above the competing bid and finance would not approve.
D1198,Account 198,SMB,Southeast,AI Revenue Management,Student Housing,14000,147,A. Morgan,Entrata,20,2,Low,Won,Trusted relationship / references,Existing partnership on another product built the trust to expand.
D1199,Account 199,Enterprise,Central,Leasing & Marketing,Conventional Multifamily,299000,42,D. Patel,Entrata,5,2,High,Lost,Missing feature / product gap,Prospect required an open API for their data warehouse that is still on our roadmap.
D1200,Account 200,SMB,Northeast,AI Revenue Management,Single-Family Rental,16000,60,D. Patel,ResMan,5,2,High,Won,Strong ROI / revenue lift,AI revenue management pilot showed a clear rent-optimization lift; CFO championed it.
D1201,Account 201,SMB,Southeast,Property Management Platform,Student Housing,58000,102,C. Diaz,MRI Software,10,1,Medium,Lost,Missing feature / product gap,Prospect required an open API for their data warehouse that is still on our roadmap.
D1202,Account 202,Mid-Market,Central,Resident Screening,Affordable,147000,28,D. Patel,Yardi,5,6,Medium,Won,Product fit / platform consolidation,Native screening + payments integration was the deciding factor.
D1203,Account 203,Enterprise,Northeast,AI Revenue Management,Single-Family Rental,484000,35,F. Okafor,Yardi,10,3,Low,Lost,Implementation / risk concerns,IT flagged integration effort as too high for the timeline.
D1204,Account 204,Enterprise,Central,Resident Screening,Conventional Multifamily,394000,46,B. Chen,MRI Software,5,3,Medium,Lost,Implementation / risk concerns,Reference checks raised onboarding concerns.
D1205,Account 205,SMB,West,AI Revenue Management,Single-Family Rental,11000,87,D. Patel,Yardi,10,1,Medium,Won,Product fit / platform consolidation,They consolidated four point tools onto our platform.
D1206,Account 206,Enterprise,Central,Leasing & Marketing,Affordable,184000,113,C. Diaz,ResMan,5,5,Medium,Lost,Implementation / risk concerns,Worried about migration risk from their legacy system during peak leasing season.
D1207,Account 207,Enterprise,Southeast,Leasing & Marketing,Conventional Multifamily,381000,92,D. Patel,Entrata,30,2,Medium,Lost,Timing / budget frozen,Budget froze after a portfolio acquisition; revisit next fiscal year.
D1208,Account 208,Mid-Market,West,AI Revenue Management,Conventional Multifamily,100000,155,B. Chen,Yardi,5,3,High,Won,Product fit / platform consolidation,They consolidated four point tools onto our platform.
D1209,Account 209,Enterprise,Northeast,Property Management Platform,Single-Family Rental,542000,107,C. Diaz,AppFolio,20,3,High,Won,Strong ROI / revenue lift,AI revenue management pilot showed a clear rent-optimization lift; CFO championed it.
D1210,Account 210,Enterprise,Northeast,Resident Screening,Affordable,403000,144,A. Morgan,None,20,2,High,Won,Trusted relationship / references,Existing partnership on another product built the trust to expand.
D1211,Account 211,SMB,West,Property Management Platform,Student Housing,42000,164,D. Patel,MRI Software,25,3,Medium,Won,Strong ROI / revenue lift,Quantified NOI improvement won over the executive sponsor.
D1212,Account 212,Enterprise,Southeast,Leasing & Marketing,Student Housing,150000,77,D. Patel,ResMan,10,2,Medium,Won,Strong ROI / revenue lift,AI revenue management pilot showed a clear rent-optimization lift; CFO championed it.
D1213,Account 213,SMB,Southeast,AI Revenue Management,Student Housing,11000,173,A. Morgan,AppFolio,25,2,High,Won,Product fit / platform consolidation,They consolidated four point tools onto our platform.
D1214,Account 214,Mid-Market,Central,Payments & Billing,Affordable,57000,106,A. Morgan,Entrata,20,4,Medium,Lost,Price too high,Buyer said our list price was 20% above the competing bid and finance would not approve.
D1215,Account 215,Enterprise,Southeast,Resident Screening,Student Housing,357000,162,C. Diaz,Yardi,20,2,Medium,Won,Trusted relationship / references,Strong peer references in their region sealed it.
D1216,Account 216,Enterprise,Northeast,Payments & Billing,Conventional Multifamily,539000,116,C. Diaz,None,5,3,Medium,Lost,Weak champion / no executive sponsor,Champion liked us but could not get budget prioritized.
D1217,Account 217,SMB,Central,AI Revenue Management,Conventional Multifamily,33000,56,B. Chen,AppFolio,5,2,Low,Won,Strong ROI / revenue lift,Quantified NOI improvement won over the executive sponsor.
D1218,Account 218,Enterprise,West,Resident Screening,Conventional Multifamily,145000,48,D. Patel,Yardi,25,2,Low,Lost,Implementation / risk concerns,IT flagged integration effort as too high for the timeline.
D1219,Account 219,Mid-Market,Northeast,Property Management Platform,Affordable,59000,79,D. Patel,Yardi,5,4,Medium,Lost,Timing / budget frozen,Budget froze after a portfolio acquisition; revisit next fiscal year.
D1220,Account 220,SMB,Southeast,AI Revenue Management,Affordable,49000,40,B. Chen,Entrata,30,5,Medium,Lost,Timing / budget frozen,Budget froze after a portfolio acquisition; revisit next fiscal year.
